  3    3   4.514e-04  2.872e-05  1.545e-05
  4    4   1.889e-04  1.201e-05  9.996e-06
  5    5   1.085e-04  9.323e-06  7.575e-06
  6    6   6.292e-05  8.977e-06  5.769e-06
  7    7   5.027e-05  5.465e-06  5.157e-06
  8    8   2.856e-05  2.434e-06  3.887e-06
  9    9   1.853e-05  2.832e-06  3.131e-06
 10   10   1.534e-05  2.799e-06  2.849e-06
 11   11   1.534e-05  2.577e-06  2.849e-06
 12   12   1.164e-05  2.236e-06  2.482e-06
 13   13   8.994e-06  2.135e-06  2.181e-06
 14   14   7.936e-06  2.105e-06  2.049e-06
 15   15   5.819e-06  1.186e-06  1.755e-06
 16   16   5.819e-06  1.718e-06  1.755e-06
 17   18   5.819e-06  1.318e-06  1.755e-06
 19   20   2.380e-06  5.168e-07  1.122e-06
 21   23   2.292e-06  5.243e-07  1.101e-06
 24   26   1.587e-06  4.621e-07  9.164e-07
 27   32   7.054e-07  2.228e-07  6.109e-07
 33   38   7.054e-07  3.069e-07  6.109e-07
 39   51   3.256e-07  4.634e-08  4.151e-07
 52   86   1.209e-07  3.602e-08  2.529e-07

