  3    3   7.311e-04  6.909e-05  4.000e-05
  4    4   3.436e-04  3.325e-05  2.742e-05
  5    5   1.948e-04  2.200e-05  2.065e-05
  6    6   1.248e-04  1.629e-05  1.652e-05
  7    7   1.182e-04  1.546e-05  1.608e-05
  8    8   5.686e-05  9.917e-06  1.116e-05
  9    9   3.284e-05  5.340e-06  8.477e-06
 10   10   3.066e-05  5.777e-06  8.191e-06
 11   11   2.626e-05  8.403e-06  7.581e-06
 12   13   1.423e-05  1.629e-06  5.580e-06
 14   15   8.756e-06  1.443e-06  4.378e-06
 16   17   1.203e-05  1.761e-06  5.132e-06
 18   23   3.647e-06  7.402e-07  2.825e-06
 24   31   2.188e-06  6.091e-07  2.188e-06
 32  152   1.447e-07  1.673e-08  5.627e-07

